screen_Name;text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
George_Forsyth;@George_Forsyth No tengo palabras cuando paso por la Victoria y ver todas las pistas rotas obras inconclusas todo p… https://t.co/3DVhUu96mM;FALSE;0;George_Forsyth;26/11/2020 05:55;TRUE;1.33E+18;7.67E+07;76691299;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";mario7860;0;FALSE;FALSE;NA;NA
George_Forsyth;RT @lmoulin_rouge: @George_Forsyth ¿ Y donde estuvo la humanidad cuando murieron los 13 de la discoteca y dijeron que ellos tuvieron la cul…;FALSE;0;NA;26/11/2020 05:53;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;1;TRUE;FALSE;NA;NA
George_Forsyth;RT @miguel957: @George_Forsyth Ya sabemos que tu no tienes palabras...ni ideas tampoco!;FALSE;0;NA;26/11/2020 05:53;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;1;TRUE;FALSE;NA;NA
George_Forsyth;RT @Jabaco4: @George_Forsyth Y XKE NO LE PINTAN UN MURAL VERONICA A LA SRTA.VALVERDE, KE FUE ASALTADA X UNO DE TUS HEROES DE BARRO;FALSE;0;NA;26/11/2020 05:52;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;2;TRUE;FALSE;NA;NA
George_Forsyth;RT @ElKimble: @George_Forsyth El arquero no recuerda su falta de humanidad cuando les robaba sus mercaderías  a los ambulantes, quitándoles…;FALSE;0;NA;26/11/2020 05:51;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;2;TRUE;FALSE;NA;NA
George_Forsyth;RT @YarlequeE: @George_Forsyth La ingenuidad del peruano se ha ido señor Forzay. No nos puede convencer de algo absurdo. Son héroes de la d…;FALSE;0;NA;26/11/2020 05:51;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;2;TRUE;FALSE;NA;NA
George_Forsyth;"RT @Radalus: @George_Forsyth ¿no tienes palabras? Eso YA LO SABEMOS! Tu léxico se limita a ""aplaudan pe"".";FALSE;0;NA;26/11/2020 05:51;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;2;TRUE;FALSE;NA;NA
George_Forsyth;RT @COBRA645: @AlbertoZevallo5 @George_Forsyth Pero si nunca has tenido palabras sino sabes articular dos ideas juntas;FALSE;0;NA;26/11/2020 05:51;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;5;TRUE;FALSE;NA;NA
George_Forsyth;RT @AlbertoZevallo5: @George_Forsyth Cualquiera es LIBRE de ALABAR a quien GUSTE... pero NO ES LIBRE de VIOLENTAR el ESPACIO PÚBLICO... par…;FALSE;0;NA;26/11/2020 05:51;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;22;TRUE;FALSE;NA;NA
George_Forsyth;RT @Berto_Lopez69: @George_Forsyth jajajajajaja pero si en la realidad no tienes palabras para nada. Te quedas tartamudeando cuando te hace…;FALSE;0;NA;26/11/2020 05:50;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";malita0550;4;TRUE;FALSE;NA;NA
George_Forsyth;RT @ZareCesar: @George_Forsyth EL POLICIA ASESINADO POR NARCOTERRUCOS ES UN HEROE. https://t.co/FECFw83Zq9;FALSE;0;NA;26/11/2020 05:43;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";MecaPinedo;30;TRUE;FALSE;NA;NA
George_Forsyth;@George_Forsyth Nunca tienes. ;;;;;;;;;;;;;;;
