screen_Name;text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
CesarAcunaP;RT @mercede56704720: Keiko va a Palacio conversa con Sagasti y manda a #LaPestilencia destruir homenaje a #BryanIntiVivenDemocratas;;;;;;;;;;;;;;;
CesarAcunaP;FALSE;0;NA;26/11/2020 06:31;;NA;1.33E+18;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";lovr_55;22;;FALSE;;NA;
CesarAcunaP;La ciencia de datos permite estimar la ubicación de las personas que interactúan por twitter. Se abren nuevas  posi… https://t.co/KHwinyg6ir;FALSE;0;NA;26/11/2020 06:30;TRUE;;;NA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";funcionobjetivo;0;FALSE;FALSE;NA;NA
CesarAcunaP;@CesarAcunaP Hombre sin valores. Lo que hiciste te sepultó.;FALSE;0;CesarAcunaP;26/11/2020 06:00;FALSE;1.33E+18;1.72E+08;171536696;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";jagemacaol;0;FALSE;FALSE;NA;NA
CesarAcunaP;@Zuigjhon @furia79 @rlopezaliaga1 SAGASTI ya TRAICIONÓ a la PNP, al mismo estilo del MISERABLE oportunista de… https://t.co/gwqODwmhkR;FALSE;0;Zuigjhon;26/11/2020 05:30;TRUE;1.33E+18;2.53E+09;2533508192;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Jesusma07658585;0;FALSE;FALSE;NA;NA
CesarAcunaP;@Ojo_Publico @Peru_APP Pueblo peruano no olvidar al mafioso y lobista pato rengo @OmarChehadeMoya quien fue uno de… https://t.co/1IGml1QBR5;FALSE;1;Ojo_Publico;26/11/2020 05:22;TRUE;1.33E+18;2.58E+09;2582629795;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";cosotec;0;FALSE;FALSE;NA;NA
CesarAcunaP;@CesarAcunaP @FSagasti El presidente ni te habrá entendido. No sabes hablar.;FALSE;0;CesarAcunaP;26/11/2020 05:21;FALSE;1.33E+18;1.72E+08;171536696;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";sergiommc4;0;FALSE;FALSE;NA;NA
CesarAcunaP;@OmarChehadeMoya NO A LA BICAMERALIDAD, esto es una reelecion encubierta, saldremos a las calles pronto!!! Cc @CesarAcunaP;FALSE;0;OmarChehadeMoya;26/11/2020 05:17;FALSE;1.33E+18;3.56E+08;355709430;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";JosLuisDavid10;0;FALSE;FALSE;NA;NA
CesarAcunaP;RT @CesarAcunaP: Parte de la esperanza que proponemos para el Bicentenario, es erradicar la violencia contra la mujer. Junto a mi equipo de…;FALSE;0;NA;26/11/2020 05:04;FALSE;;;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";giogag27;3;TRUE;FALSE;NA;NA
CesarAcunaP;@CesarAcunaP Primero enseña a no plagiar xq eso es corrupcion y estafar.;FALSE;0;CesarAcunaP;26/11/2020 05:01;FALSE;1.33E+18;1.72E+08;171536696;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Alejand73081745;0;FALSE;FALSE;NA;NA
CesarAcunaP;@CesarAcunaP Primero enseñe a no ser traidor , valores y así podrá enseñar lo demás;FALSE;0;CesarAcunaP;26/11/2020 04:54;FALSE;1.33E+18;1.72E+08;171536696;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Mark62008594;0;FALSE;FALSE;NA;NA
CesarAcunaP;RT @MEF1964: La #SeñoraK y @CesarAcunaP quieren la cabeza de @FSagasti, los dos mitómanos, traidores y blindadores de corruptos por excelen…;FALSE;0;NA;26/11/2020 04:46;FALSE;;;NA;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";rosibusso;7;TRUE;FALSE;NA;NA
CesarAcunaP;RT @Yeshuahqh: #Ojoooo #Alertas...Peruanos;;;;;;;;;;;;;;;
CesarAcunaP;FALSE;0;NA;26/11/2020 04:28;;NA;1.33E+18;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";vecab;7;;FALSE;;NA;
CesarAcunaP;RT @Yeshuahqh: #Ojoooo #Alertas...Peruanos;;;;;;;;;;;;;;;
CesarAcunaP;FALSE;0;NA;26/11/2020 04:00;;NA;1.33E+18;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";DelChuman;7;;FALSE;;NA;
CesarAcunaP;@CesarAcunaP Yo que usted señor gana más votos cayado <U+0001F44C>;FALSE;0;CesarAcunaP;26/11/2020 03:59;FALSE;1.33E+18;1.72E+08;171536696;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";2019Fung;0;FALSE;FALSE;NA;NA
CesarAcunaP;RT @Yeshuahqh: Si #Chehade...pisotea el #Referendum2018 ...desconoce la voluntad popular...que se de por echo q saldremos a las calles adve…;FALSE;0;NA;26/11/2020 03:58;FALSE;;;NA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";lescribas;6;TRUE;FALSE;NA;NA
