157A0;0.0000;6.9048;7.5002;6.3862;6.7900;6.0044;5.7443;6.6899;7.2604;6.2853;7.3126;7.3317;7.4059;1.2566;6.4228;6.9667;3.5901;7.1214;7.0577;7.5717;5.9078;5.2675;7.0495;7.3125;7.3374;2.2104;7.2053;7.1791;7.6500;7.2730;1.3934;6.1631;7.4046;6.8767;6.7230;6.1585;7.4160;6.8063;6.9897;5.7527;7.3180;5.6742;4.3853;5.6496;7.1902;6.3688;7.3026;6.7050;7.1569;5.7446;8.1802;6.6284;5.4948;6.1061;6.9974;4.8209;5.1788;7.3712;7.1608;5.9648;4.5985;6.1830;7.3900;6.0025;5.7518;7.4753;6.5722;6.8826;5.5149;6.2804;6.1621;5.9957;7.4224;7.3326;5.4919;4.6610;7.3459;5.8853;6.7428;5.4201;7.3452;5.5136;7.3840;7.4058;7.0549;7.3685;6.4930;4.2499;4.7480;6.6357;7.4184;4.9708;4.7931;0.6803;6.2879;6.6533;7.1309;4.2519;5.4761;6.8577;5.3852;6.3897;6.4389;6.1987;4.9748
196C0;6.9048;0.0000;1.8720;0.8419;0.5681;0.9617;1.1996;0.3638;0.7532;0.7245;0.8021;0.4734;0.6116;5.6609;0.6430;0.2571;3.4174;0.2628;0.4202;1.2128;1.0675;1.8160;0.2766;0.4778;0.6528;4.8166;0.3477;0.3678;2.0418;0.5215;5.5788;0.9848;0.5778;0.2149;0.3661;0.9121;0.5284;0.1042;0.3110;1.3046;0.4415;1.3334;2.5827;1.2890;0.5476;0.6180;0.5158;0.3213;0.3261;1.2902;3.2206;0.3970;1.4365;0.8577;0.1959;2.0901;1.7734;0.4680;0.3153;1.2148;2.3490;0.9525;0.6355;0.9488;1.2402;1.0070;0.3375;0.3366;1.4191;0.8609;1.0762;0.9265;1.4819;0.7783;1.5803;2.2858;0.4465;1.1157;0.1760;1.6412;0.5512;1.4187;0.4885;0.5376;0.2845;0.4760;0.7414;2.6711;2.1853;0.6526;0.7003;2.0092;2.2409;7.4234;0.7978;0.5711;0.3775;2.7547;1.6886;0.3943;1.6503;0.8298;0.4799;0.8363;2.0257
90E1;7.5002;1.8720;0.0000;2.3871;2.2918;2.4962;2.6074;2.1980;2.4706;2.2384;2.1553;1.9672;1.7353;6.3055;2.3639;2.0891;4.4130;1.9851;2.0781;1.8344;2.5799;3.2477;2.0512;1.6333;1.9327;5.6707;1.9881;1.9332;0.2176;2.0514;6.3036;2.5534;1.6805;2.0630;2.2058;2.3771;1.7745;1.9072;2.1343;2.2534;1.8001;2.8101;3.6969;2.6429;1.9274;2.3077;1.5289;2.0899;1.6420;2.0672;2.4098;1.7700;2.7197;2.4298;1.7904;3.0592;2.9520;1.8553;1.9701;2.8802;3.4665;2.4279;1.5757;2.4639;2.6691;0.9934;1.9861;2.1969;2.7115;2.4936;2.8104;2.3706;0.4685;2.1697;2.9875;3.4193;1.8656;2.6327;1.9434;3.0168;1.4963;2.7028;1.9150;1.8165;1.6811;1.8673;2.3301;3.5629;3.2986;2.3611;1.9695;3.2531;3.4518;8.0828;2.2495;2.1861;2.1470;3.8527;3.2169;2.0723;3.0439;2.3325;2.0867;2.4456;3.3020
35B0;6.3862;0.8419;2.3871;0.0000;0.7189;0.6231;0.8039;0.6133;0.9754;0.4361;1.0395;1.0664;1.2263;5.1414;0.4601;0.7708;2.8402;0.9892;0.7356;1.9861;0.7318;1.3103;0.8375;1.2073;1.1611;4.2632;0.9793;0.9115;2.5701;0.9589;5.0799;0.6374;1.1912;0.7795;0.6348;0.2616;1.2349;0.7736;0.8079;1.0198;1.2129;0.8871;2.0686;0.8513;0.9851;0.4839;1.2020;0.5753;1.1323;1.0786;3.9430;0.8248;0.9942;0.5915;0.8614;1.6867;1.2264;1.2047;0.9291;0.7550;1.8421;0.5729;1.4072;0.6649;0.6954;1.6822;0.6317;0.7087;0.9699;0.9665;0.6599;0.6767;1.9847;0.9576;0.9760;1.8148;1.1556;0.6391;0.7221;1.0336;1.3005;0.9733;1.2092;1.1616;1.0227;1.2202;0.1193;2.1569;1.7441;0.5962;1.1195;1.4781;1.6393;6.9061;0.6444;0.3153;0.9506;2.1803;1.1495;0.5750;1.0823;0.0689;0.6478;0.3933;1.5286
115B0;6.7900;0.5681;2.2918;0.7189;0.0000;0.8699;1.1170;0.3806;0.6940;0.5740;0.6475;0.7381;0.8120;5.5384;0.4340;0.4666;3.2418;0.5857;0.5753;1.3929;0.9933;1.6266;0.5518;0.8330;0.6549;4.6465;0.6251;0.6289;2.4527;0.7555;5.4482;0.6380;0.9336;0.5539;0.3276;0.8145;0.9269;0.5637;0.5487;1.4133;0.7607;1.1956;2.4286;1.1866;0.5458;0.5874;0.9376;0.5397;0.8136;1.3863;3.5442;0.7921;1.3255;0.7892;0.5794;2.0583;1.6496;0.8231;0.6266;1.0005;2.2084;0.6406;0.9510;0.8720;1.1184;1.4295;0.5808;0.3891;1.3050;0.8428;0.8387;0.9023;1.9093;0.8837;1.3473;2.1651;0.7638;0.9790;0.5684;1.4172;1.0042;1.3051;0.8250;0.8566;0.6696;0.8632;0.6312;2.5682;2.0756;0.1734;0.7578;1.8500;2.0417;7.2830;0.5545;0.5770;0.5582;2.5699;1.4649;0.5978;1.4598;0.7314;0.5779;0.7740;1.8493
155A0;6.0044;0.9617;2.4962;0.6231;0.8699;0.0000;0.2631;0.6892;1.2908;0.4342;1.4349;1.3503;1.5017;4.7612;0.4501;0.9706;2.4796;1.1403;1.0937;1.9380;0.1438;0.8602;1.0583;1.4169;1.4342;3.8852;1.2186;1.2137;2.6839;1.3031;4.6678;0.4694;1.4961;0.8943;0.7250;0.4320;1.4727;0.8646;0.9931;0.7821;1.3787;0.3762;1.6420;0.3639;1.2884;0.3693;1.4414;0.7323;1.2708;0.8480;3.7365;0.8291;0.5224;0.1085;1.0759;1.2312;0.8641;1.4079;1.1796;0.4087;1.4145;0.5264;1.5434;0.0770;0.3268;1.8489;0.6458;0.8794;0.5037;0.5246;0.4384;0.1703;2.1588;1.4258;0.6623;1.3540;1.3792;0.1813;0.7987;0.7185;1.4920;0.5086;1.4103;1.4551;1.1728;1.4081;0.6634;1.7835;1.2671;0.7410;1.4928;1.0597;1.3006;6.5096;0.5568;0.7627;1.1294;1.8142;0.7556;0.9158;0.6974;0.6443;0.5112;0.2851;1.0747
154A0;5.7443;1.1996;2.6074;0.8039;1.1170;0.2631;0.0000;0.9482;1.5480;0.6344;1.6759;1.6024;1.7407;4.5019;0.7040;1.2269;2.2297;1.3919;1.3422;2.1384;0.1897;0.6605;1.3126;1.6503;1.6780;3.6321;1.4716;1.4622;2.7962;1.5522;4.4100;0.6230;1.7312;1.1431;0.9845;0.5715;1.7138;1.1004;1.2484;0.7105;1.6220;0.2078;1.3904;0.1238;1.5293;0.6253;1.6652;0.9781;1.4972;0.7671;3.8311;1.0211;0.2758;0.3628;1.3111;0.9724;0.6204;1.6549;1.4307;0.4753;1.1599;0.6694;1.7698;0.2663;0.2082;2.0349;0.8713;1.1395;0.2605;0.6928;0.5962;0.2867;2.2947;1.6657;0.5044;1.0981;1.6279;0.2079;1.0339;0.5423;1.7138;0.2678;1.6598;1.7000;1.4008;1.6533;0.8691;1.5257;1.0100;0.9802;1.7389;0.8141;1.0685;6.2523;0.7273;0.9876;1.3879;1.5687;0.6146;1.1545;0.4947;0.8188;0.7376;0.4946;0.8374
98A0;6.6899;0.3638;2.1980;0.6133;0.3806;0.6892;0.9482;0.0000;0.6851;0.5059;0.8575;0.6775;0.8714;5.4451;0.3175;0.2926;3.1624;0.4672;0.4767;1.4409;0.7983;1.5157;0.3891;0.8001;0.8155;4.5700;0.5400;0.5622;2.3726;0.6606;5.3527;0.6940;0.8728;0.2618;0.0598;0.6811;0.8246;0.3060;0.3315;1.2048;0.7277;1.0465;2.3278;1.0423;0.6883;0.3294;0.8560;0.2115;0.6842;1.2344;3.4809;0.5317;1.1974;0.5870;0.4814;1.8973;1.5349;0.7423;0.5121;0.8760;2.1010;0.7066;0.9500;0.6899;0.9715;1.3621;0.2920;0.1995;1.1781;0.6295;0.7230;0.7056;1.8104;0.8511;1.2868;2.0407;0.7095;0.8282;0.2743;1.3531;0.9062;1.1802;0.7390;0.8014;0.6019;0.7495;0.5232;2.4591;1.9501;0.3961;0.8606;1.7437;1.9690;7.1953;0.6055;0.4258;0.4467;2.4934;1.3666;0.3862;1.3606;0.6264;0.3334;0.5556;1.7530
174A1;7.2604;0.7532;2.4706;0.9754;0.6940;1.2908;1.5480;0.6851;0.0000;1.0978;0.6793;0.5175;0.8420;6.0189;0.8909;0.5078;3.6960;0.5873;0.4578;1.5952;1.3885;2.0229;0.4906;0.8813;0.7737;5.1129;0.5057;0.5449;2.6258;0.4410;5.9237;1.2137;0.8148;0.6293;0.6590;1.1789;0.7515;0.7877;0.4767;1.7946;0.7748;1.5988;2.8849;1.6403;0.7211;0.9505;0.9464;0.7137;0.8926;1.8717;3.7876;1.0698;1.7992;1.2021;0.7547;2.5142;2.1024;0.6865;0.5186;1.3221;2.6687;1.2319;1.0619;1.3108;1.5195;1.5248;0.9204;0.5042;1.7776;1.2004;1.1273;1.3469;2.0388;0.5133;1.7917;2.6156;0.6535;1.3836;0.8051;1.8624;1.0063;1.7822;0.6441;0.6822;0.8803;0.6965;0.8677;3.0450;2.5415;0.7838;0.6649;2.2933;2.4888;7.7572;1.1876;0.7457;0.4278;3.0279;1.8271;0.6057;1.8798;0.9997;1.0135;1.0859;2.3040
6D1;6.2853;0.7245;2.2384;0.4361;0.5740;0.4342;0.6344;0.5059;1.0978;0.0000;1.0656;1.0846;1.1589;5.0340;0.2854;0.7438;2.7591;0.9136;0.8242;1.7174;0.5727;1.2206;0.8315;1.1120;1.0770;4.1682;0.9655;0.9254;2.4193;1.0516;4.9614;0.3675;1.1939;0.7242;0.5221;0.3363;1.2189;0.6466;0.8088;0.8907;1.1076;0.7663;1.9524;0.6824;0.9204;0.3371;1.1423;0.5479;1.0173;0.8562;3.6184;0.6513;0.8172;0.3881;0.7722;1.5322;1.1252;1.1586;0.9275;0.7214;1.7201;0.2809;1.2487;0.4397;0.6250;1.5537;0.4546;0.6756;0.7957;0.7233;0.6527;0.4338;1.8799;1.1480;0.9018;1.6826;1.1113;0.5300;0.5979;0.9606;1.2167;0.7940;1.1734;1.1683;0.8734;1.1806;0.4343;2.0410;1.5896;0.4471;1.1423;1.3728;1.5673;6.7980;0.2380;0.5017;0.9263;2.0921;1.1011;0.6799;1.0059;0.4296;0.3656;0.4005;1.3978
