Codigo;Distrito;IDS;Posicion;Poblacion_2016;Extension;Densidad
40202;San Pedro;70.79;152;10 943;7.5;1 459.1
40203;San Pablo;76.88;84;9 231;6.8;1 355.5
40204;San Roque;82.65;45;5 069;1.2;4 369.8
40205;Santa Lucía;88.07;24;7 889;3.0;2 647.3
40206;San José de la Montaña;70.27;156;6 321;34.7;182.1
40301;Santo Domingo;83.50;40;5 120;0.7;6 918.9
40302;San Vicente;87.28;27;7 615;2.8;2 719.6
40303;San Miguel;81.29;56;7 520;5.9;1 283.3
40304;Paracito;71.27;143;2 641;1.3;2 063.3
40305;Santo Tomás;88.78;19;7 521;3.5;2 148.9
40306;Santa Rosa;77.16;82;8 654;4.4;1 980.3
40307;Tures;70.82;151;4 166;3.6;1 163.7
40308;Pará;74.76;100;3 963;2.7;1 462.4
40401;Santa Bárbara;88.03;25;6 212;1.3;4 815.5
40402;San Pedro;75.73;94;6 385;2.5;2 574.6
40403;San Juan;81.45;53;8 565;4.4;1 933.4
40404;Jesús;74.08;108;10 775;12.6;854.5
40405;Santo Domingo;69.33;170;3 379;26.2;128.8
40406;Purabá;74.00;110;5 136;6.2;833.8
40501;San Rafael;83.20;41;10 463;1.4;7 750.4
40502;San Josecito;72.61;129;13 181;1.2;10 716.3
40503;Santiago;82.96;42;9 650;1.5;6 390.7
40504;Ángeles;81.81;51;11 973;22.1;542.5
40505;Concepción;78.73;71;7 205;22.2;324.1
40601;San Isidro;94.14;7;6 272;3.0;2 083.7
40602;San José;82.23;46;8 239;11.3;729.8
40603;Concepción;78.60;72;2 897;8.1;359.0
40604;San Francisco;77.14;83;4 839;4.6;1 054.2
40701;San Antonio;84.78;33;11 293;3.5;3 217.4
40702;Ribera;84.61;36;7 207;4.2;1 728.3
40703;Asunción;96.95;3;7 044;4.5;1 575.8
40801;San Joaquín;88.69;20;8 121;2.9;2 819.8
40802;Barrantes;92.46;9;4 947;2.3;2 160.3
40803;Llorente;79.59;64;10 661;1.8;5 955.9
40901;San Pablo;88.48;21;20 974;5.1;4 080.5
40902;Rincón de Sabanilla;86.89;28;9 396;2.4;3 931.4
